year,GDP
1959,1447.5
1960,1470.1
1961,1232.3
1962,1162.2
1963,1248.3
1964,1469.9
1965,1734
1966,1888.7
1967,1794.2
1968,1744.1
1969,1962.2
1970,2279.7
1971,2456.9
1972,2552.4
1973,2756.2
1974,2827.7
1975,3039.5
1976,2988.6
1977,3250
1978,3678.7
1979,4100.5
1980,4587.6
1981,4935.8
1982,5373.4
1983,6020.9
1984,7278.5
1985,9098.9
1986,10376.2
1987,12174.6
1988,15180.4
1989,17179.7
1990,18872.9
1991,22005.6
1992,27194.5
1993,35673.2
1994,48637.5
1995,61339.9
1996,71813.6
1997,79715
1998,85195.5
1999,90564.4
2000,100280.1
2001,110863.1
2002,121717.4
2003,137422
2004,161840.2
2005,187318.9
2006,219438.5
2007,270092.3
2008,319244.6
2009,348517.7
2010,412119.3
2011,487940.2
2012,538580
2013,592963.2
2014,641280.6
2015,685992.9
2016,740060.8
2017,820754.3
2018,900309
