Region,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
Beijing,8370.44,7943.89,7495.99,6924.23,6847.06,6112.4,5578.93,5402.95,4616.92,3814.73,3907.2,3296.38,2827.23,2528.21,2169.26,1796.14,1513.32,1280.46,1171.16,1124.62
Tianjin,11288.92,12779.39,11831.99,10518.19,9130.25,7934.8,7067.67,6278.09,4738.2,3389.79,2353.15,1820.52,1495.14,1245.66,1039.39,807.51,705,610.94,576.45,571.05
Hebei,33406.8,31750.02,29448.27,26671.92,23194.23,19661.3,16389.33,15083.35,12269.8,8866.56,6884.68,5470.24,4139.69,3218.76,2477.98,2020.38,1912.53,1816.79,1770.47,1591.76
Shanxi,6040.54,14197.98,14074.15,12354.53,11031.89,8863.3,7073.06,6063.17,4943.16,3531.16,2861.46,2255.74,1826.58,1443.88,1100.86,813.36,663.58,548.16,477.57,454.93
Inner Mongolia,14013.16,15080.01,13702.22,17591.83,14217.38,11875.7,10365.17,8926.46,7336.79,5475.41,4372.88,3363.21,2643.6,1787.95,1174.66,707.91,503.63,423.64,348.22,316.76
Liaoning,6676.74,6692.25,17917.89,24730.8,25107.66,21836.3,17726.29,16043.03,12292.49,10019.07,7435.23,5689.64,4200.45,2979.59,2076.36,1605.55,1421.19,1267.68,1119.47,1057.7
Jilin,13283.89,13923.2,12705.29,11339.62,9979.26,9511.5,7441.71,7870.38,6411.6,5038.92,3651.36,2594.34,1741.09,1169.1,969.03,834.23,701.7,603.51,500.02,431.78
Heilongjiang,11291.98,10648.35,10182.95,9828.99,11453.08,9694.7,7475.38,6812.56,5028.83,3655.97,2833.5,2236,1737.27,1430.82,1166.18,1046.17,963.58,832.64,751.66,770.05
Shanghai,7246.6,6755.88,6352.7,6016.43,5647.79,5117.6,4962.07,5108.9,5043.75,4823.15,4420.37,3900.04,3509.66,3050.26,2499.14,2213.72,2004.64,1869.38,1855.76,1966.38
Jiangsu,53277.03,49663.21,46246.87,41938.62,36373.32,30854.2,26692.62,23184.28,18949.87,15300.55,12268.06,10069.22,8165.38,6557.05,5233,3450.12,2823.2,2569.97,2441.88,2450.37
Zhejiang,31696.03,30276.07,27323.32,24262.77,20782.11,17649.4,14185.28,12376.04,10742.32,9323,8420.43,7590.22,6520.07,5781.35,4740.27,3477.47,2834.94,2349.95,1958.05,1801.74
